date,confiance,paris,succes,gains,profit,strategie
2021-04-04,Moyen,14,7,17.2,3.1999999999999993,PLACE
2021-04-05,FORT,18,13,19.6,1.6000000000000014,PLACE
2021-04-05,Moyen,9,4,8.8,-0.1999999999999993,PLACE
2021-04-06,FORT,19,14,18.85,-0.14999999999999858,PLACE
2021-04-06,Moyen,5,2,3.3,-1.7000000000000002,PLACE
2021-04-07,FORT,20,16,22.15,2.1499999999999986,PLACE
2021-04-07,Moyen,10,0,0.0,-10.0,PLACE
2021-04-08,FORT,15,10,16.0,1.0,PLACE
2021-04-08,Moyen,10,4,8.5,-1.5,PLACE
2021-04-09,FORT,19,17,24.35,5.350000000000001,PLACE
2021-04-09,Moyen,12,5,9.3,-2.6999999999999993,PLACE
2021-04-10,FORT,26,21,29.1,3.1000000000000014,PLACE
2021-04-10,Moyen,8,4,8.7,0.6999999999999993,PLACE
2021-04-11,FORT,13,13,18.15,5.149999999999999,PLACE
2021-04-11,Moyen,14,9,20.5,6.5,PLACE
2021-04-12,FORT,18,11,17.4,-0.6000000000000014,PLACE
2021-04-12,Moyen,6,5,8.6,2.5999999999999996,PLACE
2021-04-13,FORT,12,8,11.2,-0.8000000000000007,PLACE
2021-04-13,Moyen,13,7,13.0,0.0,PLACE
2021-04-14,FORT,11,6,8.4,-2.5999999999999996,PLACE
2021-04-14,Moyen,14,9,18.0,4.0,PLACE
2021-04-15,FORT,15,13,18.8,3.8000000000000007,PLACE
2021-04-15,Moyen,10,7,13.6,3.5999999999999996,PLACE
2021-04-16,FORT,23,16,21.2,-1.8000000000000007,PLACE
2021-04-16,Moyen,9,4,8.6,-0.40000000000000036,PLACE
2021-04-17,FORT,20,13,20.3,0.3000000000000007,PLACE
2021-04-17,Moyen,13,4,7.800000000000001,-5.199999999999999,PLACE
2021-04-18,FORT,16,11,15.25,-0.75,PLACE
2021-04-18,Moyen,13,7,12.9,-0.09999999999999964,PLACE
2021-04-19,FORT,12,11,15.8,3.8000000000000007,PLACE
2021-04-19,Moyen,13,9,17.9,4.899999999999999,PLACE
2021-04-20,FORT,14,9,12.45,-1.5500000000000007,PLACE
2021-04-20,Moyen,9,5,9.5,0.5,PLACE
2021-04-21,FORT,14,9,13.799999999999999,-0.20000000000000107,PLACE
2021-04-21,Moyen,10,5,8.3,-1.6999999999999993,PLACE
2021-04-22,FORT,16,11,15.0,-1.0,PLACE
2021-04-22,Moyen,8,5,10.0,2.0,PLACE
2021-04-23,FORT,18,12,17.15,-0.8500000000000014,PLACE
2021-04-23,Moyen,14,6,11.4,-2.5999999999999996,PLACE
2021-04-24,FORT,22,20,23.95,1.9499999999999993,PLACE
2021-04-24,Moyen,13,5,8.6,-4.4,PLACE
2021-04-25,FORT,15,10,15.3,0.3000000000000007,PLACE
2021-04-25,Moyen,12,7,14.6,2.5999999999999996,PLACE
2021-04-26,FORT,19,12,19.5,0.5,PLACE
2021-04-26,Moyen,6,3,5.8,-0.20000000000000018,PLACE
2021-04-27,FORT,18,12,17.8,-0.1999999999999993,PLACE
2021-04-27,Moyen,7,1,1.7,-5.3,PLACE
2021-04-28,FORT,17,12,14.7,-2.3000000000000007,PLACE
2021-04-28,Moyen,10,5,9.1,-0.9000000000000004,PLACE
2021-04-29,FORT,16,8,13.7,-2.3000000000000007,PLACE
2021-04-29,Moyen,8,6,13.0,5.0,PLACE
2021-04-30,FORT,20,17,24.35,4.350000000000001,PLACE
2021-04-30,Moyen,11,3,6.6,-4.4,PLACE
2021-05-01,FORT,19,15,22.65,3.6499999999999986,PLACE
2021-05-01,Moyen,13,8,16.3,3.3000000000000007,PLACE
2021-05-02,FORT,22,13,24.1,2.1000000000000014,PLACE
2021-05-02,Moyen,13,7,10.0,-3.0,PLACE
2021-05-03,FORT,19,15,20.9,1.8999999999999986,PLACE
2021-05-03,Moyen,5,3,4.7,-0.2999999999999998,PLACE
2021-05-04,FORT,16,12,18.0,2.0,PLACE
2021-05-04,Moyen,8,4,8.6,0.5999999999999996,PLACE
2021-05-05,FORT,13,11,16.1,3.1000000000000014,PLACE
2021-05-05,Moyen,11,5,9.8,-1.1999999999999993,PLACE
2021-05-06,FORT,16,12,20.5,4.5,PLACE
2021-05-06,Moyen,9,5,8.8,-0.1999999999999993,PLACE
2021-05-07,FORT,21,18,24.3,3.3000000000000007,PLACE
2021-05-07,Moyen,11,5,9.9,-1.0999999999999996,PLACE
2021-05-08,FORT,24,15,21.8,-2.1999999999999993,PLACE
2021-05-08,Moyen,12,6,14.8,2.8000000000000007,PLACE
2021-05-09,FORT,18,13,19.1,1.1000000000000014,PLACE
2021-05-09,Moyen,8,3,4.7,-3.3,PLACE
2021-05-10,FORT,16,10,16.65,0.6499999999999986,PLACE
2021-05-10,Moyen,10,5,9.4,-0.5999999999999996,PLACE
2021-05-11,FORT,20,16,21.0,1.0,PLACE
2021-05-11,Moyen,5,4,8.7,3.6999999999999993,PLACE
2021-05-12,FORT,16,10,13.2,-2.8000000000000007,PLACE
2021-05-12,Moyen,14,7,8.3,-5.699999999999999,PLACE
2021-05-13,FORT,21,17,24.2,3.1999999999999993,PLACE
2021-05-13,Moyen,11,6,13.5,2.5,PLACE
2021-05-14,FORT,17,12,18.1,1.1000000000000014,PLACE
2021-05-14,Moyen,14,5,8.7,-5.300000000000001,PLACE
2021-05-15,FORT,25,17,24.95,-0.05000000000000071,PLACE
2021-05-15,Moyen,11,8,12.1,1.0999999999999996,PLACE
2021-05-16,FORT,18,13,15.45,-2.5500000000000007,PLACE
2021-05-16,Moyen,17,7,16.0,-1.0,PLACE
2021-05-17,FORT,19,17,22.75,3.75,PLACE
2021-05-17,Moyen,5,1,1.9,-3.1,PLACE
2021-05-18,FORT,19,16,24.400000000000002,5.400000000000002,PLACE
2021-05-18,Moyen,6,4,7.3,1.2999999999999998,PLACE
2021-05-19,FORT,16,12,18.8,2.8000000000000007,PLACE
2021-05-19,Moyen,7,0,0.0,-7.0,PLACE
2021-05-20,FORT,25,17,24.95,-0.05000000000000071,PLACE
2021-05-20,Moyen,6,4,8.6,2.5999999999999996,PLACE
2021-05-21,FORT,22,17,22.4,0.3999999999999986,PLACE
